species	sp	duration	grass	legume	herb	func_grp	indicator	nat_exo	status	rare
"Galium gaudichaudii"	Gal_gau	Perennial	0	0	1	Herb	2	N	I	R
"Galium sp (exotic)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Gamochaeta americana"	Gam_ame	Annual	0	0	1	Herb	NA	E	NA	NA
"Gamochaeta calviceps"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Gamochaeta purpurea"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Gamochaeta sp."	Gam_sp.	Annual	0	0	1	Herb	NA	E	NA	NA
"Geranium retrorsum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Geranium solanderi"	Ger_sol	Perennial	0	0	1	Herb	C	N	NA	NA
"Glycine clandestina"	Gly_cla	Perennial	0	1	1	Legume	2	N	I	NA
"Glycine tabacina"	Gly_tab	Perennial	0	1	1	Legume	2	N	I	NA
"Gonocarpus tetragynus"	Gon_tet	Perennial	0	0	1	Herb	1	N	NA	NA
"Goodenia hederacea"	Goo_hed	Perennial	0	0	1	Herb	2	N	NA	NA
"Goodenia pinnatifida"	Goo_pin	Perennial	0	0	1	Herb	2	N	I	NA
"Haloragis heterophylla"	Hal_het	Perennial	0	0	1	Herb	1	N	NA	NA
"Hardenbergia violacea"	Har_vio	Perennial	0	1	0	Leguminous_shrub	2	N	I	NA
"Helichrysum luteoalbum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Hibbertia obtusifolia"	Hib_obt	Perennial	0	0	0	Woody_shrub	NA	N	I	NA
"Hibbertia riparia"	Hib_rip	Perennial	0	0	0	Woody_shrub	2	N	NA	NA
"Hirschfeldia incana"	Hir_inc	Annual	0	0	1	Herb	NA	E	NA	NA
"Holcus lanatus"	Hol_lan	Perennial	1	0	0	C3	NA	E	NA	NA
"Hordeum (Critesion) sp."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Hovea heterophylla"	Hov_het	Perennial	0	1	0	Leguminous_shrub	NA	N	NA	NA
"Hydrocotyle laxiflora"	Hyd_lax	Perennial	0	0	1	Herb	2	N	NA	NA
"Hypericum gramineum"	Hyp_gra	Perennial	0	0	1	Herb	2	N	I	NA
"Hypericum perforatum"	Hyp_per	Perennial	0	0	1	Herb	NA	E	NA	NA
"Hypochaeris glabra"	Hyp_gla	Annual	0	0	1	Herb	NA	E	NA	NA
"Hypochaeris radicata"	Hyp_rad	Perennial	0	0	1	Herb	NA	E	NA	NA
"Hypoxis hygrometrica"	Hyp_hyg	Perennial	0	0	1	Herb	2	N	NA	R
"Isoetopsis graminifolia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Isolepis gaudichaudiana"	Iso_gau	Annual	0	0	0	Sedge_Rush	C	N	NA	NA
"Isotoma fluviatilis"	Iso_flu	Perennial	0	0	1	Herb	2	N	NA	NA
"Juncus australis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Juncus bufonius"	Jun_buf	Annual	0	0	0	Sedge_Rush	C	N	NA	NA
"Juncus capitatus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Juncus filicaulis"	Jun_fil	Perennial	0	0	0	Sedge_Rush	C	N	NA	NA
"Juncus fockei"	Jun_foc	Perennial	0	0	0	Sedge_Rush	C	N	NA	NA
"Juncus sp. (native)"	Jun_sp.	NA	0	0	0	Sedge_Rush	C	N	NA	NA
"Juncus subsecundus"	Jun_sub	Perennial	0	0	0	Sedge_Rush	C	N	NA	NA
"Juncus usitatus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Lachnagrostis filiformis"	Lac_fil	Annual	1	0	0	C3	NA	N	NA	NA
"Lactuca saligna"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Lactuca serriola"	Lac_ser	Annual	0	0	1	Herb	NA	E	NA	NA
"Lepidium africanum"	Lep_afr	Annual	0	0	1	Herb	NA	E	NA	NA
"Leptorhynchos squamatus"	Lep_squ	Perennial	0	0	1	Herb	2	N	I	NA
"Leptospermum sp."	Lep_sp.	Perennial	0	0	0	Woody_shrub	C	N	NA	NA
"Ligustrum sp."	Lig_sp.	Perennial	0	0	0	Woody_shrub	NA	E	NA	NA
"Linaria pelisserana"	Lin_pel	Annual	0	0	1	Herb	NA	E	NA	NA
"Linaria sp."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Linaria spp (arvensis?)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Linum marginale"	Lin_mar	Perennial	0	0	1	Herb	2	N	NA	NA
"Linum trigynum ? (yellow)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Lissanthe strigosa"	Lis_str	Perennial	0	0	0	Woody_shrub	2	N	NA	NA
"Lolium perenne "	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Lolium rigidum"	Lol_rig	Annual	1	0	0	C3	NA	E	NA	NA
"Lomandra bracteata"	Lom_bra	Perennial	0	0	1	Herb	1	N	NA	NA
"Lomandra filiformis"	Lom_fil	Perennial	0	0	1	Herb	1	N	NA	NA
"Lomandra filiformis coriacea"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Lomandra longifolia"	Lom_lon	Perennial	0	0	1	Herb	2	N	NA	NA
"Lomandra multiflora"	Lom_mul	Perennial	0	0	1	Herb	2	N	NA	NA
"Luzula densiflora"	Luz_den	Perennial	0	0	0	Sedge_Rush	2	N	NA	NA
"Lycium ferocissimum"	Lyc_fer	Perennial	0	0	0	Woody_shrub	NA	E	NA	NA
"Lythrum hyssopifolia"	Lyt_hys	Annual	0	0	1	Herb	C	N	NA	NA
"Malva sp."	Mal_sp.	Perennial	0	0	1	Herb	NA	E	NA	NA
"Medicago sp."	Med_sp.	Annual	0	1	1	Legume	NA	E	NA	NA
"Melichrus urceolatus"	Mel_urc	Perennial	0	0	0	Woody_shrub	2	N	NA	NA
"Mentha diemenica"	Men_die	Perennial	0	0	1	Herb	2	N	NA	NA
"Microlaena stipoides"	Mic_sti	Perennial	1	0	0	C3	C	N	NA	NA
"Microseris lanceolata"	Mic_lan	Perennial	0	0	1	Herb	2	N	NA	R
"Microtis sp"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Microtis unifolia"	Mic_uni	Perennial	0	0	1	Herb	2	N	I	NA
"Modiola caroliniana"	Mod_car	Perennial	0	0	1	Herb	NA	E	NA	NA
"Moenchia erecta"	Moe_ere	Annual	0	0	1	Herb	NA	E	NA	NA
"Montia fontana"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Myosotis discolor"	Myo_dis	Annual	0	0	1	Herb	NA	E	NA	NA
"Nassella neesiana"	Nas_nee	Perennial	1	0	0	C3	NA	E	NA	NA
"Nassella trichotoma"	Nas_tri	Perennial	1	0	0	C3	NA	E	NA	NA
"Oenothera mollissima"	Oen_mol	Annual	0	0	1	Herb	NA	E	NA	NA
"Oenothera stricta"	Oen_str	Annual	0	0	1	Herb	NA	E	NA	NA
"Onopordum acanthium"	Ono_aca	Annual	0	0	1	Herb	NA	E	NA	NA
"Opercularia hispida"	Ope_his	Perennial	0	0	1	Herb	2	N	NA	NA
"Ophioglossum lusitanicum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Orobanche minor"	Oro_min	Annual	0	0	1	Herb	NA	E	NA	NA
"Oxalis perennans"	Oxa_per	Perennial	0	0	1	Herb	C	N	NA	NA
